query_id,answer
128,2865 4219 4407 2831 4400 1966 2521 2646 2944 4331
129,1960 4408 4308 4400 4219 2831 4367 4396 2964 2064
130,4234 2646 4361 4219 4308 4532 4331 4400 4403 2865
131,4440 2663 2220 4008 3595 2968 3552 2661 2696 4287
132,4411 4329 1828 2068 2065 4502 4205 1830 4338 4419
133,4234 3265 4308 4045 4366 4362 4396 4050 2698 4153
134,4328 4366 4050 4286 4234 4153 4402 4413 4362 4045
135,4387 4407 4219 4400 4532 2646 1958 2696 4504 3689
136,2696 4219 2865 1966 3470 2866 2646 4407 4400 3567
137,4234 4308 4331 4362 4286 4408 1954 4219 1909 4358
138,3261 4205 2060 2062 4110 3150 4404 4419 2057 2068
139,4219 4308 4234 2646 4396 4331 4362 2943 4361 3265
140,4219 2646 4407 4389 2521 4395 2944 3026 2865 4403
141,1909 4234 1918 4308 1907 4408 4286 4328 4396 4362
142,2865 4219 2646 1966 2521 2944 4234 2866 4400 1958
143,4320 2902 1901 3483 4366 3265 2232 4045 4321 4361
144,4389 4394 4361 2943 4396 4440 3565 2646 4219 4205
145,4362 1901 4234 2698 4045 4050 1899 4214 4153 4308
146,4436 4045 4153 4320 2902 4234 4050 4361 4321 4403
147,1966 4219 3470 2646 4331 4400 4440 2696 4361 4387
148,2646 2865 4219 1966 4234 2521 2944 4361 4400 4406
149,2646 4219 1966 2865 2521 1958 4234 4400 2831 2944
150,4445 4410 4247 4255 2151 2029 4422 2072 4344 2898
151,4400 4403 4219 4407 2831 1966 1958 2646 2865 3088
152,2943 4361 4219 1966 4387 2646 3689 3055 4407 4509
153,1907 4286 1909 4396 4328 1918 3419 4362 4308 4234
154,4328 4396 4286 1907 4234 3436 3467 4362 4407 3209
155,4407 4403 4400 4234 3209 2646 2831 4219 2408 1958
156,2865 2944 3168 2521 2696 4400 4219 2646 4234 4331
157,4400 2865 2944 2521 4219 4407 2831 1966 3168 2646
158,1951 3467 4234 4045 4320 4214 4050 4328 4362 4153
159,2865 4219 1966 2646 4361 2521 2944 2943 2696 4407
160,4234 4396 1909 4362 4516 3265 4286 4308 4517 4338
161,2665 4214 2698 4361 4331 3553 4398 2943 4395 4408
162,2865 4219 1966 2696 2646 3470 4234 2944 2831 4361
163,3265 4362 4050 4045 4234 4366 4153 4320 4214 4218
164,2696 4400 4407 2968 4361 4403 2894 2663 3209 2831
165,4219 3078 3470 4440 4331 1966 4313 4361 2646 4010
166,4362 1909 4234 3467 4308 4045 3088 2698 4400 4357
167,4400 4219 2865 2831 1966 2646 4408 4234 2944 2521
168,1951 4234 4361 2698 2646 3467 4362 4308 4214 4331
169,2865 4400 2646 1966 2831 4234 4403 2944 4219 4331
170,1958 4387 4403 4400 1918 4361 4407 4234 2865 2408
171,2894 2696 4440 2968 4008 2663 2886 2220 2942 2288
172,4219 2646 4361 4308 4331 4234 4440 4322 4531 2962
173,3643 3128 2696 2886 2220 2663 2894 2279 2196 4431
174,1907 4396 4234 4045 2831 4153 4286 2964 4050 4362
175,4451 4447 4220 2698 4214 3995 2405 4290 3314 4445
176,4219 4331 2521 4394 4361 4440 4389 2646 2943 4407
177,4361 3467 4214 4320 4532 4308 4321 4234 4446 4050
178,4320 4321 4366 4361 3467 4319 2232 4433 4214 4050
179,3028 4372 2937 2908 4364 4423 4318 2914 4232 2909
180,4389 4440 3565 4361 4396 2646 2943 4435 4331 4219
181,3565 4389 4440 4285 4361 2646 4219 4205 2943 2831
182,4285 2646 4219 4234 4361 4331 4517 4308 4516 1909
183,4320 3467 4050 4214 4362 4045 4234 4366 4153 4436
184,2865 1966 2646 4219 3844 4406 4361 4234 4400 2521
185,4320 4321 1951 2232 3128 4366 4050 4214 4045 4433
186,2942 4388 4375 2244 2220 3643 3128 4302 4409 3254
187,2831 4400 2944 4408 2865 2521 4234 4403 4532 2646
188,2831 4400 4408 4234 4219 2865 4361 4504 4403 4409
189,4219 2865 4403 4234 2646 2944 2831 4400 2521 1958
190,4204 2095 3579 4006 4285 2171 3580 4359 4018 3844
191,4532 4050 4153 3088 4045 3643 2220 4362 2646 3128
192,1909 4396 4286 1918 4407 1907 4328 3419 4387 3088
193,4403 4407 4400 4387 2408 1958 2831 3209 2646 4234
194,4286 3467 4234 1907 4396 4328 2511 4407 1951 1909
195,3026 4424 4395 4389 4219 2646 2521 4404 4198 2681
196,4387 2865 2646 4407 4219 1966 1958 4389 2866 2521
197,4361 4219 4389 4440 2646 4384 3565 2943 3564 4396
198,1951 4532 4045 4050 3467 4153 4320 3128 4446 4361
199,4406 3844 4361 2646 2865 2944 2521 4308 4234 4219
200,4407 4400 4219 2865 4408 2646 4302 4409 4403 2696
201,4332 4400 3088 2203 2696 4387 4408 2831 4302 3689
202,2646 4219 2943 4361 4440 4389 4396 4308 3127 4205
203,4387 4219 4407 2646 1958 2865 4532 1966 2944 2521
204,4234 4308 4362 4286 3265 4214 4328 4400 4045 4153
205,2943 2646 4361 4331 4219 2521 4407 2865 2831 2944
206,4396 2249 4407 4387 3007 3088 4400 1918 4403 2943
207,3026 4395 2646 4214 4424 2698 2943 4219 4331 4407
208,4387 4361 4219 4400 2521 4407 2831 4408 2646 2865
209,1951 4361 4532 2646 4331 3467 4234 4308 4219 4286
210,4361 4331 4234 4406 4219 3470 2646 1966 4010 4313
211,2865 2646 1966 4219 2521 4407 2866 2944 4400 4331
212,4396 4286 4328 1907 4366 4308 4214 3436 1909 4362
213,4440 4389 4219 3078 4313 2646 2943 3565 4361 1966
214,4219 4407 4395 2646 4403 2521 2944 2696 3026 4400
215,4328 1909 4286 4408 4403 4396 1907 4234 1918 4308
216,2917 4551 2922 4321 4332 2232 4372 2695 2896 2663
217,4366 4214 4460 2698 4451 3478 2665 4445 4209 4447
218,4361 4406 2646 4219 4440 2866 4322 4285 3078 2944
219,4396 1960 4408 4205 3088 4407 1901 3149 4361 2646
220,4440 2220 2663 3643 3128 4375 2942 2894 4008 2968
221,3565 4389 4440 2943 4361 4285 4396 4205 4394 2646
222,4234 4286 1951 4328 4532 4214 1907 4050 2698 4361
223,4361 2943 4285 2646 4389 3149 4205 4396 4219 4387
224,4400 2831 4408 4407 4403 4219 4302 2865 4532 4409
225,4371 2910 4372 4309 2908 4287 4423 3169 4520 4406
226,4371 4372 2217 2156 4240 3777 2908 4220 4354 2911
227,4396 4328 1907 4286 1909 3436 4234 4362 1901 1918
228,2865 2646 4219 2521 1966 4400 2944 2831 4408 4361
229,1966 4219 2646 4361 1958 4408 3470 4400 4389 4440
230,4408 2831 4400 4219 2696 4332 4234 2865 1966 4504
231,4286 4396 4234 4308 4362 4328 4045 1907 2964 3467
232,4387 2865 4219 1958 1966 2646 4407 2944 2521 3168
233,4532 3643 3128 2220 4050 2942 4153 4045 4361 2217
234,4396 4387 2943 4407 4205 4361 3149 3007 1958 1909
235,4387 4219 2646 2865 2521 3689 1958 3055 4407 1966
236,4403 2802 4407 2521 3168 4400 2944 4219 1966 3209
237,4396 3265 3483 1909 1918 1901 4362 1846 4328 1844
238,4328 4446 4046 4234 4133 4362 4045 4153 4286 1909
239,4423 2914 4364 2917 4414 4363 4371 4232 4347 4372
240,4396 4328 4045 1909 3436 4243 4286 1907 1901 4433
241,4396 1907 4328 4286 4433 4234 1901 1909 4403 4308
242,4362 2698 4433 4214 1901 4286 3088 2244 4234 3265
243,4406 3844 4361 2943 4394 4407 2865 4440 4389 3972
244,4320 4321 4532 4361 3467 4214 4153 2646 3128 4045
245,4387 4219 2646 2865 1958 4407 1966 4532 3689 4234
246,4219 2865 2831 1966 4400 4403 2696 2944 4408 2646
247,2646 4219 4387 1966 4361 2943 3470 2037 2521 3689
248,2663 2968 4287 4375 2695 2661 4356 4363 4346 4388
249,3470 4219 2696 1966 3078 4509 3567 2865 4361 2866
250,4320 2646 4153 1951 4321 4234 4361 4331 4050 4045
251,4400 4219 4408 2831 2696 4407 3088 2865 2646 4396
252,2894 3254 2886 2238 2220 3128 3643 4440 3469 2923
253,4362 4308 4234 4396 3467 2196 2964 3265 2665 4286
254,4320 4321 4446 1951 4050 4436 3467 4218 4153 4361
255,2944 1909 1910 1923 2802 4407 2521 3843 4009 3689
256,2865 4219 4400 1966 2831 4407 4403 4409 4302 2944
257,4369 4249 4296 4220 4335 4224 4454 4371 4347 3995
258,4234 4214 4331 4362 4308 2665 4446 4050 2698 3467
259,4400 4219 2865 2944 4403 2646 2831 2521 4234 1966
260,1951 3467 4234 4361 4218 4214 4308 4362 4050 4331
261,4400 2408 3209 4407 2831 3689 4403 4219 2521 2865
262,4286 4234 2408 1907 4396 4400 2511 4361 4219 4408
263,4518 4321 4243 4530 3858 4162 4399 4519 4453 2895
264,4309 4520 3750 3016 2214 4523 2674 3790 4377 3735
265,2646 4407 4219 4387 2865 1966 2866 1958 2944 3567
266,2698 4214 4451 4445 3995 4209 4447 4366 4290 3314
267,4400 2831 1966 4219 4234 4403 4407 2865 4408 4361
268,4234 4362 4308 4286 2964 3265 2196 4400 4045 4134
269,4214 2698 4366 4433 4451 4445 3995 2918 3862 4209
270,4219 2646 4361 4285 4234 3127 2962 4389 4320 3467
271,4396 4328 4286 1907 4362 3467 4234 3265 4308 2964
272,4219 2865 2646 1966 2521 2944 4400 1958 4234 2831
273,1951 3467 4532 4234 4214 4361 4308 1899 4050 4045
274,4396 1909 3265 1901 1918 4153 4205 4435 4532 1954
275,2646 4219 4361 4440 4384 4233 3077 4331 4313 4308
276,4219 4400 4408 2865 2646 2696 2831 4407 4387 4234
277,4451 2698 4214 4447 3995 2405 4383 4438 4460 4220
278,4396 4328 1907 1909 4286 3467 3436 4362 2511 4296
279,4328 4396 1907 4286 4399 4126 1909 3743 2408 3419
280,4408 4403 3209 4361 1966 4219 4400 2196 4346 4358
281,2943 4361 4205 4440 3149 2663 3595 2220 3552 3150
282,4219 4408 4361 4308 4234 2646 2962 4331 2831 4400
283,4046 4234 3265 4045 4133 4362 4446 4050 2964 4153
284,4008 2663 4287 2661 2968 3595 2217 4348 2942 4420
285,4214 2698 4362 3467 4234 4433 2665 4366 4286 4395
286,4234 4308 4396 4328 1907 4045 4286 4362 4153 4400
287,4296 3734 3737 4377 4454 4254 3778 2152 4081 4324
288,2962 4397 4227 4290 2646 3483 3400 2049 4407 4506
289,1910 4331 4308 4408 4361 4286 1960 3689 2462 2831
290,4308 4219 4153 4050 4234 4362 4045 2646 4361 1951
291,4407 2943 2408 2802 2944 2521 4403 1958 4387 3209
292,4400 2865 2944 2521 2831 3168 4219 4361 4403 1966
293,3565 4389 2646 4440 4219 4361 4396 4313 4233 2943
294,4219 4387 2646 4407 4403 2865 3567 4389 1966 3026
295,4219 4400 2865 1966 2646 2944 2831 4234 4403 2521
296,2962 4320 4219 2646 4321 4308 4045 4214 4361 1901
297,4396 4308 4234 4331 3265 2943 2964 4362 1910 4214
298,3844 2865 4406 2646 4219 1966 2037 4400 4361 3567
299,2943 4361 1966 3470 4406 2037 4219 4313 3169 3055
300,4408 4308 4396 1960 2964 4338 1909 4234 3265 4205
301,2646 2521 2943 4219 4361 2944 4234 4331 2865 3168
302,4375 4354 4134 4373 4371 2670 2942 2217 4008 4439
303,4396 4286 4328 1907 1909 4234 4362 1918 1901 3088
304,4219 3467 2646 4361 4234 4456 3015 4331 4322 4308
305,4362 1901 3265 4045 4050 4153 2795 4433 2244 4234
306,4328 4396 4234 4286 4446 4362 4403 4046 1899 4045
307,3784 4239 4134 4266 3993 4354 2942 4307 4351 4291
308,4286 4328 1951 3467 2408 4301 4396 2962 1907 4403
309,2220 4440 2663 2968 4375 3588 2247 2894 2203 4388
310,4045 4234 4532 4361 1951 4050 4153 4362 3467 3088
311,2865 4219 2646 1966 2521 2944 4400 2831 4407 4234
312,3265 4362 4045 4234 2698 4396 4214 2196 4050 4503
313,4362 4045 4050 4153 4234 4308 1951 4204 2964 4133
314,4396 1909 1901 4362 4308 4045 1899 4234 2511 3088
315,4320 3128 1951 4045 4050 4436 4234 4214 4153 4321
316,4400 4407 2831 4387 4408 2943 4403 1958 4219 4532
317,4308 4234 1909 4286 4328 4362 1907 4045 1918 4396
318,4387 2646 4219 1966 4407 2865 1958 4504 4400 4403
319,4234 4331 3265 4362 4308 4133 4214 4050 4286 4446
320,4233 4361 4219 4333 4313 2646 4331 4384 3735 4308
321,4328 4396 1907 4286 1909 2408 3467 4403 3419 3209
322,1909 2831 3843 4400 1960 2802 2944 1907 2521 1918
323,2696 4400 2865 4219 2894 1966 2646 2886 4407 2866
324,2831 2521 2944 3168 2865 1958 2646 3055 3689 3088
325,4407 2646 4219 4389 4338 2943 4400 4387 4440 2064
326,4396 4328 4286 1907 3436 3467 4362 4308 4234 4153
327,2646 1909 4219 4331 4361 4308 2962 4233 4234 2943
328,1910 4308 4331 4396 4408 4009 2968 1923 4234 4219
329,4400 4408 1966 4219 2831 2964 4361 2943 4331 4407
330,1951 4214 4320 3467 4234 4308 4366 2646 4532 4361
331,4440 4361 4389 2646 4313 4394 4219 2943 2220 4384
332,4214 2698 4366 4395 2665 4424 4361 4451 4234 4050
333,4320 4321 2232 4436 4153 4234 4361 4050 1901 4331
334,4214 2698 4366 4445 2944 2521 2665 4361 4451 3088
335,1899 3128 1901 3467 4532 4234 4388 4396 4308 4320
336,4045 3265 4234 4362 4050 4446 4396 4153 4133 4328
337,4361 4331 2943 4219 4338 4205 4408 1966 4400 3149
338,3088 1909 4358 4331 4286 2408 2511 1951 4153 4234
339,4214 4366 2698 4234 4045 4446 4362 4050 4451 4395
340,4375 4224 2953 4355 2244 2695 2887 4373 4324 2928
341,4387 4407 1958 4219 3689 2646 3055 4403 2865 4400
342,4045 4162 4050 4153 4242 4243 4530 4518 3592 4433
343,4219 4361 2646 4389 2521 4440 4406 4331 2943 4407
344,2646 4361 3265 4234 4389 4219 4331 4050 4440 4133
345,4361 4219 4389 4440 2521 2646 2943 1966 4331 2944
346,4445 4291 4406 4297 2150 3442 4255 4403 4362 3844
347,4400 4332 2831 2865 4408 4403 1958 4219 4504 4407
348,4407 4389 4440 2064 4338 4387 4219 4205 4361 4133
349,2943 4361 4440 4389 2646 4394 4219 2221 4331 1966
350,2865 1966 4219 2866 2696 2646 3470 3567 4400 2944
351,2831 4219 4400 4532 4403 4387 4408 4407 1966 4358
352,4214 4366 2698 4361 4400 4451 2665 2964 4445 4219
353,2062 4110 3261 4205 2060 4411 4404 3150 4109 2857
354,4396 1909 4308 4234 2244 4050 1899 4045 4153 2196
355,2962 2646 4219 4397 2865 4407 4387 4389 3567 4532
356,4362 4234 4308 3265 4286 2196 2964 4396 4328 4045
357,4219 4308 4408 2646 4234 4361 2962 3564 4358 4403
358,4361 2646 4406 4219 4308 1966 4234 4322 4010 4331
359,4403 4400 2831 4219 2865 4408 1966 4407 4234 2646
360,4320 2698 4321 4214 4361 4153 4366 4050 3265 4218
361,4395 4424 4454 2665 4214 3553 4398 2408 1918 1909
362,4361 4234 2943 4308 4045 2646 3055 3088 3168 4407
363,2865 1966 4219 2696 3470 4406 2646 3844 4400 3567
364,4396 1907 4328 1909 4286 2831 1901 1960 3088 4400
365,4287 2415 2663 2968 2896 3552 4269 2900 4163 4375
366,2646 4234 4219 2865 1966 4406 4361 3844 4407 2521
367,3470 4313 4440 1966 4384 4361 3077 4219 3078 2696
368,4331 1910 4308 4234 2462 4366 1899 4361 4387 4286
369,4328 4045 4234 4153 4362 4050 4133 4286 3265 4396
370,1951 4234 3467 4362 2646 4214 4331 2698 4361 4308
371,4451 2968 4445 2695 2663 4302 4332 4388 4335 2222
372,1909 3088 4362 1918 4400 4396 3419 4408 4387 4308
373,3265 4234 4362 4331 4050 4153 4338 3467 2665 4308
374,4400 4331 2964 4408 4234 2831 4219 4361 1966 2646
375,4532 3467 4050 4153 4361 1951 4045 2646 3128 4320
376,2865 4219 2646 1966 2521 2944 4400 2831 2866 4234
377,4219 2646 4361 4331 4322 4234 4308 4408 2037 4010
378,3265 4362 4234 4050 2665 4396 4338 2196 4045 4153
379,4440 4389 2865 4361 2646 4219 2944 2521 2943 4407
380,4403 4407 4219 4400 2865 2646 2831 1966 4408 4331
381,4219 4400 2646 2865 1966 4234 2521 3567 4408 2944
382,4286 1907 4396 2511 2408 4328 4400 3419 1909 4408
383,4551 4266 4370 4242 3855 2917 4435 3862 4356 4249
384,4234 3467 4050 4331 4153 4045 4362 4334 4308 2646
385,4532 1951 3467 4320 2646 4045 4361 3128 4234 4050
386,3470 2696 3078 4219 4440 1966 2865 4332 2944 2831
387,3467 4396 4045 4153 4050 4361 4431 3128 4532 4320
388,4389 4219 4440 3564 4361 2863 3565 2943 4331 4509
389,4234 1951 2698 4362 4214 4045 3467 2646 4331 4361
390,4371 4347 2910 4372 4220 4423 4178 4401 1948 4364
391,4234 1909 4362 4045 4396 1907 4153 4433 4358 4050
392,4234 4362 4308 4286 2196 3265 1909 4331 4214 4328
393,4219 4396 2646 4440 4361 4408 4322 3149 4331 2943
394,3467 4321 4436 4320 4045 1951 4532 4050 1901 4218
395,4276 4373 2220 4375 3128 4207 4337 2942 3643 4440
396,4384 3026 4205 4219 4389 3007 3261 4395 4302 3149
397,4361 1951 4234 4331 2646 4308 4400 3088 4045 4403
398,4454 4395 4424 1842 3992 4447 4523 4520 4526 4521
399,2865 4219 1966 2866 2696 4407 2521 2944 2646 4361
400,3026 4389 4395 4424 4219 4440 2064 4407 4338 4198
401,4400 4219 1958 2831 2521 3088 2944 1966 2865 4403
402,4447 4451 4445 4214 4227 2698 3478 4290 3774 2213
403,2865 1966 4219 2866 2696 4406 2646 3844 4361 2944
404,4219 1966 3470 2865 3567 2696 2646 4509 4400 4361
405,4286 4396 1909 4388 4328 2244 1901 2408 4234 1918
406,2831 4219 4400 4408 4387 2646 2944 2696 2521 2865
407,4396 4286 4328 4234 4045 4362 3436 4050 2964 4308
408,4361 4331 1966 4406 4234 2646 4308 4219 4408 2943
409,1909 4396 4286 1899 1901 2244 2248 4308 2198 1918
410,4331 4219 4234 4408 4361 4308 4358 4403 4400 2962
411,4403 4407 4361 2943 4387 4331 4408 4205 3149 3088
412,3026 4395 4424 2646 4389 4219 4198 2681 4407 4214
413,4328 4134 4400 4045 4286 4153 4050 4396 4234 2964
414,2663 2794 2968 2253 2916 4364 3051 2695 4356 4435
415,2964 4050 4234 4153 4400 4331 4045 4362 4133 4308
416,2521 2944 2802 4407 1958 3168 3055 3689 3843 2865
417,4411 2062 2061 4110 3261 4205 2060 4404 3431 3147
418,4328 1909 4396 4234 4286 1907 4227 4517 4516 4219
419,3078 2866 4219 2696 3470 4302 4400 4409 4407 4403
420,4440 4389 4219 4361 1966 3470 4313 2646 4384 4331
421,4400 2646 4234 2865 4403 2831 4407 4219 1966 2521
422,3088 4362 4396 4400 4308 4234 4408 3265 4387 4045
423,2962 4440 2646 4219 4407 4389 4361 4397 2521 2865
424,4361 4408 4308 2646 1966 4331 4234 4338 2964 4219
425,1901 2646 4532 4331 2943 3265 4361 4396 3088 4045
426,2962 4397 4440 2646 4219 4389 4302 4407 3565 4285
427,3467 4328 4396 3088 4286 3592 4436 4532 4385 4218
428,4234 4362 4214 4308 4331 2698 2646 4050 3467 2665
429,4328 4396 1907 4286 4320 1909 3467 4321 3436 4532
430,1966 4219 4387 4408 2646 2865 1958 4400 2866 4403
431,2865 1966 4219 2646 3844 4406 4361 2696 2521 2944
432,4320 4532 2646 4214 3088 4361 4050 4234 4308 4045
433,4219 4361 2646 4408 4308 1951 3088 4234 4331 4532
434,1909 4396 4407 3088 4408 4400 4387 2511 2408 1918
435,4234 2646 4361 4219 4308 4406 4403 2521 4331 4407
436,4408 1960 4308 4400 1909 4234 4387 4396 2964 4407
437,2962 4219 4397 3567 2865 2646 4387 2521 4407 4509
